global_ordinal,source_sha256,output_sha256,output_pixel_sha256,base_crop_pixel_sha256,transform_decision,deskew_correction_degrees,crop_left,crop_top,crop_right_exclusive,crop_bottom_exclusive,source_width,source_height,output_width,output_height,detector_confidence
299,c96762b9a245d32c99e7f0091185b62f895a569aa70460e9e526fd69d5d41395,c81da5dfbdcb7be240ff0b290d6071567d057907d4baea7f53f447757a0979a4,959a7d99aa1294525cb1044f1a6740baae696bfc8666814f1b1f8aef202c3267,959a7d99aa1294525cb1044f1a6740baae696bfc8666814f1b1f8aef202c3267,preserve,0.0,138,71,1522,1291,1642,1361,1384,1220,0.9924999999999999
300,63bedc4afc2b70c35b867be3dfa8cfbdf98473ba98de2840b14e2539fbc45bef,4cc8880af3fb5f23844a9cf64427e2f27f17bc96ad49c063f83461730c8d7b2b,4bf189e16dc70574166cab8092a2345d9e217f99dfe1c4264a6d6ab09b338c8e,4bf189e16dc70574166cab8092a2345d9e217f99dfe1c4264a6d6ab09b338c8e,preserve,0.0,176,61,1583,1301,1690,1361,1407,1240,0.9924999999999999
301,cd5e4fcdf8512407f2074aa0d0fc0d50469995178897301651a7582ce8b19f13,043f2e1aaf738ec7ce06cd1291fa43cec9d223a70a291b2894a026271d165e41,2b683b2bb4ffc6d9ac45eb6f44c53d298211e7f4403309ba2ef7d7206b2f63e0,2b683b2bb4ffc6d9ac45eb6f44c53d298211e7f4403309ba2ef7d7206b2f63e0,preserve,0.0,168,54,1591,1305,1690,1361,1423,1251,0.9924999999999999
302,914918c80ef0ac973f9f26c57642b0c51247ae7fe520b721202f7cb0c6f32dc4,3db88d9e0c3827a434afe238dc6a3e52345024f69277476d6c4431f0008590fc,3ca064d2106cbdf1154fe0615162c47273869a5425147e1891dbaff4b9dbab81,3ca064d2106cbdf1154fe0615162c47273869a5425147e1891dbaff4b9dbab81,preserve,0.0,167,53,1580,1302,1690,1361,1413,1249,0.9924999999999999
303,c5253fbeb88862b134e93c1c98442c2b7e7d425a2be56442cd83112b04121f01,ccfacd46d15e8754df6cc48e3de00addac54d7f2060e36867d3637548aabac3c,2e47d938ade6e5211ae625ce3d51766f633910e03cb8d38edf3dd1e3600a960f,2e47d938ade6e5211ae625ce3d51766f633910e03cb8d38edf3dd1e3600a960f,preserve,0.0,161,60,1563,1304,1642,1361,1402,1244,0.9924999999999999
304,f10e23c96c8d8cf9ea55723a62e00716921f349a6af258f92dbbd01f6bd9f5d0,ab591149f3f79b92a60aeca469aaf571f819e2a3fbc4832a8b6a0f608fd627a5,856e7c08afb869bfff9df3d40faed3ec777c25b22e326da66ad029015235a26b,856e7c08afb869bfff9df3d40faed3ec777c25b22e326da66ad029015235a26b,preserve,0.0,180,63,1577,1309,1690,1361,1397,1246,0.9924999999999999
305,308430e1fa75c8767ad68570531ab2e6fc905a8b1b9fecb11433af6e0411d438,c54f9043391b7463df6048f2a78c960f0fb881c3d59684ebf32895105fa58022,fc4436328b4f135dcde4653101742f62f66eb0a7e233781b573d925299059bfc,fc4436328b4f135dcde4653101742f62f66eb0a7e233781b573d925299059bfc,preserve,0.0,176,55,1571,1296,1690,1361,1395,1241,0.9924999999999999
306,a28c5c66db124c10136cf988994314cc729b2b2a95cdcd7fcdb07c6a200adf89,fe132f89d095a82f517343407fca4920c88c4d67402456f2781afda7bee17a0c,dbd6b92e7c875a285ca73cb0e6e3c58d6bf71c5fa6d93035171bc6b3b1da2c71,dbd6b92e7c875a285ca73cb0e6e3c58d6bf71c5fa6d93035171bc6b3b1da2c71,preserve,0.0,160,57,1563,1302,1665,1361,1403,1245,0.9924999999999999
307,c707fbdae82d45fd1aba0e2ad38411c6b8ea50efff580256bc0b1d2bff8958da,3551b9900501e06f9d04dc16fd4a1178a2231a4606da8ee621383af3ac444ea6,b59384156400887d0ab7e6353ed849da89a7abe57890971791f9c5511f00c334,b59384156400887d0ab7e6353ed849da89a7abe57890971791f9c5511f00c334,preserve,0.0,157,54,1559,1299,1661,1361,1402,1245,0.9924999999999999
308,946498c49ecc43743c804efe3b64e3ab69c3eefd8d8537eef4f7fca19e9aa514,0e8c29b3480dd9318f8c964fae341193c0274a07e028691ae33b7548165a0d3d,28b87d720e6063dfd089a721da5d501d86536e5ba506ca11463af5cba63d68b0,28b87d720e6063dfd089a721da5d501d86536e5ba506ca11463af5cba63d68b0,preserve,0.0,151,66,1535,1300,1642,1361,1384,1234,0.9924999999999999
309,dc09b9f7948d60bdd5e0b176b980e9af9f6d8cf94d9e70f5a4485a377ffd4a21,e041803567db331a264bb5c50fd3f3fc8489ff4798c39152b5b861616faba4f3,3c602d059df8dc0202c604a83f62c9098ca0894754c7d370080c09f348c4d736,3c602d059df8dc0202c604a83f62c9098ca0894754c7d370080c09f348c4d736,preserve,0.0,137,48,1542,1310,1642,1361,1405,1262,0.9924999999999999
310,d8cbfacc9c52817c7543547e4b8ca9cf5d7392054844123a011c03b922972677,58da082a63d4831288bfabafdc75b68ef07e84562ef999701b6b315c8c05c12b,7a49027b22e3bc399181995bc6791648a141106777d88246faab87b6e52837ea,7a49027b22e3bc399181995bc6791648a141106777d88246faab87b6e52837ea,preserve,0.0,158,46,1571,1311,1669,1361,1413,1265,0.9924999999999999
311,72951999b15d8e81327bce1fad17187600186ff81082612e5bcb4fd5cfd4455b,0ef624e4eb6043367c41afc969fa3d39d1d4852569728ee37e579c27289135b7,734cf095d734344d420bd061e6e48793eb1c9916563dc0c46cfcaaba8309676e,734cf095d734344d420bd061e6e48793eb1c9916563dc0c46cfcaaba8309676e,preserve,0.0,138,52,1546,1308,1621,1361,1408,1256,0.9924999999999999
312,9738f95e7cb7beb9684295079369759dc9deaad88ee5ec0aaa7d2c0b9daa92ec,3af76f028e1b9fab7e5055fc2cb4e519142713dce9a08e4992d3bade2c03c454,a2e8163758ebdaa69b4add231f4d368bf492094af0809ce8884f93b0e9829657,a2e8163758ebdaa69b4add231f4d368bf492094af0809ce8884f93b0e9829657,preserve,0.0,176,52,1585,1309,1690,1361,1409,1257,0.9924999999999999
313,fcca7055245e15816ded570e921f6a20f4f124a9bc7325083e241aeda246e531,d24841f189571dc97b6bf08e707efe3218d43d307ba93ed493a74bf8ad4de99f,2895148f8940884d0fe9b2344603d2c8b8a376789b30921525166f499231cd85,2895148f8940884d0fe9b2344603d2c8b8a376789b30921525166f499231cd85,preserve,0.0,188,54,1590,1303,1690,1361,1402,1249,0.9924999999999999
314,76aee2d966c12c715a15ef23eb4c0d195ba04308a29d640a64686ec476638f81,42ccd3239e7f284586c6e645352c8f2087c645e1a33f28bbeab071be874d5a17,dff031cf34264545f0c77489104967f5398f9a9ea4f7973fb19687ba8fd921f9,dff031cf34264545f0c77489104967f5398f9a9ea4f7973fb19687ba8fd921f9,preserve,0.0,182,51,1597,1308,1690,1361,1415,1257,0.9924999999999999
315,2f99c7975a71a40f4cc430aa0538926823cd760b23947419b258c3462bdd7b58,9151878043480ff7a071454797798da65d606868144c146e526582c482d1d41b,1da24b87d19f91fecc481a61bcf1bf788b07bcb2cdfab48e471bced8fbf44e2b,1da24b87d19f91fecc481a61bcf1bf788b07bcb2cdfab48e471bced8fbf44e2b,preserve,0.0,140,60,1545,1304,1642,1361,1405,1244,0.9924999999999999
316,e754b0dfedfc96c48a02a6df349efe4f5cb4dd98b3fb6338efc9fd2fbe1a526b,49919ad4c616c140f5ed1266a91ace2403766af54d8cce5f6eb36806c5461225,c34d3388f01f11dd833985bf8c5c4f16907e512a41c816855cbdc379935a881f,c34d3388f01f11dd833985bf8c5c4f16907e512a41c816855cbdc379935a881f,preserve,0.0,149,64,1539,1289,1642,1361,1390,1225,0.9924999999999999
317,10756002abb47d7842630d41d1929a4feec1a7cdabf59127465366691eac2399,ac0033a021e2d7bb3c246bd453cfeb6d9696705a10468e98c2da5142fc9c8f5b,9cf6a2c292bf5e22dcdb3277c3d5be7fc67a8035f825dbc65f8165b6b104b068,9cf6a2c292bf5e22dcdb3277c3d5be7fc67a8035f825dbc65f8165b6b104b068,preserve,0.0,193,69,1575,1296,1690,1361,1382,1227,0.9924999999999999
318,c97d26c8f125d680c070e303ae4e94011027eb1a59cdbce17d5e076d2b6b9388,bebaf304bfd8ad93739cb3e25bded60d7c738da5c15e1b6e47718301f93dd812,ad8f37a4242fbd504e95b55ba9ac7802f9af6ce146f2e4d4b22b1d693fb57a7c,ad8f37a4242fbd504e95b55ba9ac7802f9af6ce146f2e4d4b22b1d693fb57a7c,preserve,0.0,174,60,1576,1303,1690,1361,1402,1243,0.9924999999999999
319,a09185b3490710a9ef6ae5065ad40f440f37f3051537402fbd8c35c45c6b728b,b7d1ff7e7c3f4e8709448f9606d4a460dcc1a8a43a1c48a958736644654934a1,b7830ee835868805db4b2344818ac30927dd61bd6d6c107dea9c88cde246485a,b7830ee835868805db4b2344818ac30927dd61bd6d6c107dea9c88cde246485a,preserve,0.0,170,58,1572,1308,1690,1361,1402,1250,0.9924999999999999
320,dfd01fb0927f392e8e68d7b0de5d13527c4030ee34be16f3c4fc94b99207a2c6,126a5306ea3bb9d06e93fe48be18cf6f9bae029adebe40211244c8f70997ba22,e8aeb49cc37cc7eba73df568ffd219bfb3eddd3c5c51dfed25d09579462dff34,e8aeb49cc37cc7eba73df568ffd219bfb3eddd3c5c51dfed25d09579462dff34,preserve,0.0,176,55,1571,1304,1690,1361,1395,1249,0.9924999999999999
321,1d2d366c47252ee32a25fa164cf9b67888779cc53bc36f450097105be2cba9ff,7f6e96dd8a9dac380b1677384d2b38a3a34dbde47b6d8d31ab618a5a64134471,ae22af24095c79e12a1b26f2fadf02919651d414b488188404afcad5b519f523,ae22af24095c79e12a1b26f2fadf02919651d414b488188404afcad5b519f523,preserve,0.0,170,58,1571,1303,1690,1361,1401,1245,0.9924999999999999
322,509012930bbf9c556b54da7f0302c3d8f58f7e933f164eef9f6bfcab9e3365d1,c34ee6dc2377137dd6c9739d5227f415e76d92f1989e7622e16be40819ec0927,5264cced6ddca305b98995904e59c58f61c77e94aac6255d29e4ee9ecbd856a9,5264cced6ddca305b98995904e59c58f61c77e94aac6255d29e4ee9ecbd856a9,preserve,0.0,170,58,1567,1305,1690,1361,1397,1247,0.9924999999999999
323,a1f50f2d6384c48f579a104e44e7f7bad0104ae58746f39edd70896ff837f5e1,be8e6125971afacbd2c1126f7cc2f98f2a9a30be420094560a65131091932c85,28a7a1916e3a53c8b76ede3614acaaa6e916f8fe8db2c5284670808591a30906,28a7a1916e3a53c8b76ede3614acaaa6e916f8fe8db2c5284670808591a30906,preserve,0.0,175,58,1564,1300,1690,1361,1389,1242,0.9924999999999999
324,a37b87e04f93a29fcb4b9ee7c29e3f275cdc28338a8d16f86c913e121e757aff,eae8bf0609dfd4521fd7c6323cd1cdd1c2bdae8233981985542b736157291aec,ad1bd9ae8b60e6ffbb06ea69a704cf9430d037f4af73b8318c2e0f1451194298,ad1bd9ae8b60e6ffbb06ea69a704cf9430d037f4af73b8318c2e0f1451194298,preserve,0.0,152,62,1548,1305,1648,1361,1396,1243,0.9924999999999999
325,2f2fe73a6a19591cb696b42938d5bcb8f8587b8ab5f6e93c48a9f6961fbe4868,00a18bdc4b14a1513f385ff27235aac4e3e2fa87a3a4ba4125bcd96ccd4cb7f1,dcefea4cd46c46cc972fe160ff0eb1eb89e38bfa61e4703a9b280f8291056e71,dcefea4cd46c46cc972fe160ff0eb1eb89e38bfa61e4703a9b280f8291056e71,preserve,0.0,151,58,1552,1298,1640,1361,1401,1240,0.9924999999999999
326,454f56377ef1bb5d4e0c0c249e9f3610c69babdf9282e861308924e95d2d18af,c9dfc1c06cdaf5c2dd8a7b1f1a2b3b655ca0cbc0fc3fb13f51a60ad8dc5709a2,b168ebf110950a24b70f1646e8930249c1eac47079ee68f66bf7d7d6f1c9cb03,b168ebf110950a24b70f1646e8930249c1eac47079ee68f66bf7d7d6f1c9cb03,preserve,0.0,124,62,1537,1300,1594,1361,1413,1238,0.9924999999999999
327,5f993d7d9f7343d1a52499fac8553bb1a389def13daa457f107319d526c462c8,1edf9724abcfb33e5ec7f51a2fa20bee8285d4c1bc01bfb288e46632ef396b77,a000a821439398000a0f4ef2c84693006d48b554e01f7d69669767005d70457b,a000a821439398000a0f4ef2c84693006d48b554e01f7d69669767005d70457b,preserve,0.0,151,67,1551,1295,1618,1361,1400,1228,0.9924999999999999
328,23a500301c7eeee24a4b81a19736253065da8dc3c0e7550c4f0f5c169a70a694,eb82a25f6efd30dbaa557c04f368490997ce456b82b762519570966648c55d80,779b369d589659a230eaf579a53d2e317f1c6655916465f2968b3505f72e32b9,779b369d589659a230eaf579a53d2e317f1c6655916465f2968b3505f72e32b9,preserve,0.0,134,68,1519,1292,1594,1361,1385,1224,1.0
