global_ordinal,source_docx,source_ordinal,relationship_id,media_path,extracted_file,detected_format,width_px,height_px,mode,bytes,sha256,duplicate_group,analysis_file,thumbnail_file,source_repository,source_commit,pipeline_repository,pipeline_commit,manuscript_left_page,manuscript_right_page,date_begin,date_end,record_begin,record_end,year_or_transition,hand_or_priest_notes,condition_notes,content_qc_status,confidence,research_notes
260,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,260,rId264,word/media/image260.png,raw/fs_0260.png,PNG,1786,1361,RGB,2062367,c739bd7ba28cee4c06200bff2b975fe3adf424d253313edc66ba3acbebf5650e,,analysis/fs_0260_analysis.png,thumbnails/fs_0260.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
261,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,261,rId265,word/media/image261.png,raw/fs_0261.png,PNG,1786,1361,RGB,2048623,ee05ba22a44a2c61c83db4e3a1bb2e719ef1de9d3618c88f56e5dfadee72e618,,analysis/fs_0261_analysis.png,thumbnails/fs_0261.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
262,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,262,rId266,word/media/image262.png,raw/fs_0262.png,PNG,1786,1361,RGB,2021912,ccccb74e841bd003d1c259c68392e2d50eb8e18d7a589ca1122ff575bfbde592,,analysis/fs_0262_analysis.png,thumbnails/fs_0262.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
263,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,263,rId267,word/media/image263.png,raw/fs_0263.png,PNG,1786,1361,RGB,2074513,047b5d0773f43cabfc968f397e78595c7ffe086c3f6c27ab687d31acffc1dd6e,,analysis/fs_0263_analysis.png,thumbnails/fs_0263.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
264,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,264,rId268,word/media/image264.png,raw/fs_0264.png,PNG,1786,1361,RGB,2074203,cfe8c20e3d6031a98b129eb74ab0590a50161caa7c197885c7e4c65fbec9ca54,,analysis/fs_0264_analysis.png,thumbnails/fs_0264.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
265,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,265,rId269,word/media/image265.png,raw/fs_0265.png,PNG,1786,1361,RGB,2100893,71737a7ea3cd341247700cb20c376e1cc98aabdb81d06eab7385317bc6376b98,,analysis/fs_0265_analysis.png,thumbnails/fs_0265.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
266,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,266,rId270,word/media/image266.png,raw/fs_0266.png,PNG,1786,1361,RGB,2160047,f3bcef83a07e7b159760ff64d6cab88769d9382b2425c9bf07967cadb228ad2c,,analysis/fs_0266_analysis.png,thumbnails/fs_0266.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
267,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,267,rId271,word/media/image267.png,raw/fs_0267.png,PNG,1786,1361,RGB,2121642,2bdb0d859a27217638737d4e8484ecb847f6237c54008db6faf5a40f3136a87f,,analysis/fs_0267_analysis.png,thumbnails/fs_0267.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
268,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,268,rId272,word/media/image268.png,raw/fs_0268.png,PNG,1786,1361,RGB,2088230,0b073e9e57e4319e345b13ddab91f63aefd687cae0265ae1160db52363a639db,,analysis/fs_0268_analysis.png,thumbnails/fs_0268.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
269,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,269,rId273,word/media/image269.png,raw/fs_0269.png,PNG,1786,1361,RGB,2124914,626a392d243879e78976f669319e79639cd656d433962917d31bff70c32712ff,,analysis/fs_0269_analysis.png,thumbnails/fs_0269.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
