global_ordinal,route,pipeline_action,decision_before,input_pixel_sha256,output_pixel_sha256,output_sha256,output_width,output_height
42,preserve,preserve-and-continue,correction-candidate,5d8b75440ee4d045b379912d59e7d3c49df8a67fc591250082cb7cd550923ecc,5d8b75440ee4d045b379912d59e7d3c49df8a67fc591250082cb7cd550923ecc,ba847096015a56f17d79348c70fabeacd47113ccc2bfe550ac2bc9170560a510,1709,1337
43,preserve,preserve-and-continue,correction-candidate,455066b6d6f8f53a8d166395b4f2e7da18385555a268acf965be606c2b8e7d5f,455066b6d6f8f53a8d166395b4f2e7da18385555a268acf965be606c2b8e7d5f,fde6552659a1f7c36d64ea2bfd249b62376e0f1c2ff483151007b74956d7dbdf,1710,1314
44,preserve,preserve-and-continue,correction-candidate,abf527ad403f41c4d48a0045961a192f29c4f964decf4939cb01d32276ad025c,abf527ad403f41c4d48a0045961a192f29c4f964decf4939cb01d32276ad025c,8871c25b4bff77c53c8f1de4deadba2849c8fe6b5004aa1dfadd0e74f164c99e,1624,1255
45,preserve,preserve-and-continue,correction-candidate,a747b995b0588dae9b571d68299561af525df0e802f2fd1466f1a3feac68703a,a747b995b0588dae9b571d68299561af525df0e802f2fd1466f1a3feac68703a,9a852873eeb4262cf31689f0d0f5999237ce441315a4c9c7469eb8f980aef6c8,1686,1305
46,preserve,preserve-and-continue,correction-candidate,6b23216c6b773c6a338295da57de40a1513c94838d42381fc799e50225fc4b4a,6b23216c6b773c6a338295da57de40a1513c94838d42381fc799e50225fc4b4a,41aaca174e5b6bc02e2eaa3b1ac8191c32f1de0e73e7dbbdec1c91aef14546a2,1607,1236
47,preserve,preserve-and-continue,correction-candidate,c309a4c27255e7b642e3894754f361d980d18e1ff7b9051de946a66280ac7c40,c309a4c27255e7b642e3894754f361d980d18e1ff7b9051de946a66280ac7c40,1802fd9e1f7fd5710f22f626c1e4cd2a1672dbdf5ec355d8c7c106517a4c2537,1656,1276
48,preserve,preserve-and-continue,correction-candidate,9605c607328271bf740f42b6a2d7d62f2c9d8b5a4b81bda42e33a0873419cc9c,9605c607328271bf740f42b6a2d7d62f2c9d8b5a4b81bda42e33a0873419cc9c,cd5222c79eb2666b092619b562941e1c371e97738e9bb7f6ff3cec59501f8171,1660,1283
49,preserve,preserve-and-continue,correction-candidate,a82e1a4cc726e3d0b5c328d0c2c078e577b012e726f70b9f95b8d2963c562245,a82e1a4cc726e3d0b5c328d0c2c078e577b012e726f70b9f95b8d2963c562245,771fc5b0ade031f2dfdb61e887af4ff6368114f409d7b31451c749cda628c6fc,1661,1271
50,preserve,preserve-and-continue,correction-candidate,6adb582161a174ebd1351182800c85da06396f0a34b2e164bcb9cce5a37b99dc,6adb582161a174ebd1351182800c85da06396f0a34b2e164bcb9cce5a37b99dc,cde5083bdec3570d95a3018502c32043efec83d88d052e03aadaf818bef94855,1628,1247
51,preserve,preserve-and-continue,correction-candidate,c288b3f74fca872072686678ac5a609403257a30d04e6f95225883b98dbda2de,c288b3f74fca872072686678ac5a609403257a30d04e6f95225883b98dbda2de,fd0418cb0ccb7b4f5ebbc57af92fe841791478ed843d695a711e3f52676db21e,1652,1275
